#score	card name	comments
669.371	Mountain	implemented
637.49	Plains	implemented
631.267	Forest	implemented
608.73	Swamp	implemented
608.614	Island	implemented
81.4737	Lightning Bolt	implemented
74.6385	Jace, the Mind Sculptor	planeswalker
73.4872	Misty Rainforest	search lib
63.5289	Scalding Tarn	search lib
54.703	Tectonic Edge	implemented
54.6766	Mana Leak	implemented
49.7466	Darkslick Shores	implemented
48.5611	Preordain	look at lib
45.6009	Arid Mesa	search lib
44.5653	Stoneforge Mystic	search lib
43.9244	Verdant Catacombs	search lib
43.7858	Tumble Magnet	charge counters, remove to tap target artifact or creature*
42.5949	Marsh Flats	search lib
40.7912	Lotus Cobra	mana pool
37.991	Inquisition of Kozilek	reveal hand
36.3406	Inkmoth Nexus	animate land, become 1/1 Blinkmoth artifact creature with flying, infect*
35.9694	Path to Exile	search lib
35.9587	Creeping Tar Pit	implemented
35.412	Flashfreeze	counter red or green spell*
35.0196	Go for the Throat	implemented
33.4731	Duress	reveal hand
33.1125	Goblin Guide	reveal top lib card
29.6912	Spell Pierce	counter noncreature spell unless pays 2*
28.498	Vengevine	checks for second creature spell this turn*
27.5745	Arc Trail	two targets
27.4014	Memnite	implemented
27.0657	Squadron Hawk	search lib
25.8203	Raging Ravine	implemented
25.7994	Noble Hierarch	implemented
25.1273	Force of Will	alternate casting cost, loss of life that cannot be prevented or redirected
25.1005	Everflowing Chalice	multikicker 2, charge counters*
25.0035	Wasteland	tap and sacrifce to destory target non basic land*
24.723	Fauna Shaman	search lib
24.6298	Birds of Paradise	implemented
24.5927	Ornithopter	implemented
24.1755	Joraga Treespeaker	level up, grant mana ability to elves*
23.8682	Obstinate Baloth	if discarded goes to battlefield instead of graveyard*
23.8665	Glacial Fortress	implemented
23.6007	Sphere of the Suns	remove charge counter, get one mana of any color
23.4536	Llanowar Elves	implemented
23.1379	Acidic Slime	implemented
22.9979	Cunning Sparkmage	implemented
22.9752	Seachrome Coast	implemented
22.927	Celestial Colonnade	implemented
22.6583	Blackcleave Cliffs	implemented
22.5479	Drowned Catacomb	implemented
22.4274	Thoughtseize	reveal hand
22.1129	Day of Judgment	implemented
21.8455	Ratchet Bomb	two abilities, tap to charge, tap and sac to destroy non land perms with cmc equal to # charge counters
21.6415	Primeval Titan	search lib
21.3871	Tezzeret, Agent of Bolas	planeswalker
21.2851	Celestial Purge	exile black or red permanent*
21.006	Mox Opal	metalcraft, tap to add one mana of any color
20.7203	Mirran Crusader	implemented
20.5758	Doom Blade	implemented
20.5394	Terramorphic Expanse	search lib
20.4245	Koth of the Hammer	planeswalker
20.0635	Negate	counter noncreature spell*
20.0435	Explore	may play additional land this turn*
19.8092	Memoricide	name a card
19.5866	Overgrown Battlement	give green for each creature with defender*
19.5628	Burst Lightning	implemented
19.4828	Knight of the Reliquary	search lib
19.3204	Signal Pest	battle cry, can't be blocked except by creatures with flying or reach*
19.3158	Gideon Jura	planeswalker
19.2217	Phyrexian Revoker	name a card
18.9411	Pyroclasm	deal two damage to each creature*
18.866	Snow-Covered Swamp	snow
18.7184	Khalni Garden	effect on entering bf, need 0/1 green plant token, tap for green*
18.3287	Staggershock	rebound
18.044	Contagion Clasp	proliferate
17.9083	Phyrexian Crusader	implemented
